,title,row2,row3,job_description,skills,row6,link
382,Team Lead,"Infovision Labs
3.9
138 Reviews","6-10 Yrs
Not disclosed
Bengaluru",An ideal candidate must have exposure working across industries / verticals with a prov...,"['Google Analytics', 'Team Lead', 'marketing', 'Sprinklr', 'Talkwaker', 'Omniture', 'agile', 'data-driven visual storyboarding']","21 Days Ago
Save",https://www.naukri.com/job-listings-team-lead-infovision-labs-india-pvt-ltd-bengaluru-6-to-10-years-040324900872
383,Senior Power BI Engineer,"Experion
4.2
77 Reviews","10-20 Yrs
Not disclosed
Bengaluru",. Should have understanding on RPA . Should have Good Experience on PCF (Power Apps com...,"['Product engineering', 'Publishing', 'Data modeling', 'power bi', 'Application security', 'Scheduling', 'Unit testing', 'Troubleshooting']","21 Days Ago
Save",https://www.naukri.com/job-listings-senior-power-bi-engineer-experionglobal-bengaluru-10-to-20-years-040324500873
384,Senior Analyst,"Media Iq Digital
3.1
66 Reviews","2-6 Yrs
Not disclosed
Bengaluru","Bachelors degree in engineering or equivalent quantitative field (such as Statistics, M...","['Analyst', 'Data analysis', 'Automation', 'Bidding', 'Healthcare', 'Data processing', 'Powerpoint', 'Analytics']","21 Days Ago
Save",https://www.naukri.com/job-listings-senior-analyst-miq-digital-bengaluru-2-to-6-years-040324500276
385,Marketing Science Specialist lead / Data Analyst Lead,"Lifesight Technologies
4.1
5 Reviews","6-10 Yrs
15-25 Lacs PA
Bengaluru(Sector 5 HSR Layout)",The ideal candidate should possess the ability to tackle problems faced by the marketin...,"['Statistical Modeling', 'Python Data Analytics', 'Market Mix Modelling', 'SAAS', 'Marketing Intelligence', 'Data Mining', 'Marketing Analytics', 'Machine Learning']","21 Days Ago
Save",https://www.naukri.com/job-listings-marketing-science-specialist-lead-data-analyst-lead-lifesight-technologies-bengaluru-6-to-10-years-040324003931
386,Data Scientist,"Winning Edge
2.5
3 Reviews","5-9 Yrs
Not disclosed
Bengaluru",Basic Qualifications: Bachelors Degree in computer science or related scientific discip...,"['Sage Maker', 'NLP', 'NLU', 'NLG', 'Kubeflow', 'Docker', 'Data Scientist', 'AWS services']","23 Days Ago
Save",https://www.naukri.com/job-listings-data-scientist-edge-bengaluru-5-to-9-years-020324907447
387,Data Science Manager,"Winning Edge
2.5
3 Reviews","10-12 Yrs
Not disclosed
Bengaluru","Lead teams to rationalize, optimize and support applications for maximum speedPreferred...","['Data Science', 'DevOps', 'PMP', 'PRINCE II', 'ITSM', 'Safe', 'Service Now', 'ITIL']","23 Days Ago
Save",https://www.naukri.com/job-listings-data-science-manager-edge-bengaluru-10-to-12-years-020324905264
388,Speech Scientist - Artificial Intelligence/Machine Learning,"Leading Client
Posted by Career Maker","3-8 Yrs
Not disclosed
Bengaluru","- Hands on expertise in Artificial Intelligence, Machine Learning, Neural Networks, Hum...","['Machine Learning', 'Biometrics', 'Java', 'Speech Recognition', 'C++', 'NLP', 'Artificial Intelligence', 'Computer Vision']","24 Days Ago
Save",https://www.naukri.com/job-listings-speech-scientist-artificial-intelligence-machine-learning-career-maker-bengaluru-3-to-8-years-010324910664
389,Senior Data Scientist/Vision Language,"Neal Analytics
3.4
26 Reviews","2-8 Yrs
Not disclosed
Mumbai, Bengaluru","Masters or PhD (completed / degree awaited) in application of Computer Vision, Artifici...","['Graphics', 'Process automation', 'Computer vision', 'Retail', 'Automation', 'Manufacturing process', 'Analytical', 'Natural language processing']","24 Days Ago
Save",https://www.naukri.com/job-listings-senior-data-scientist-vision-language-neal-analytics-mumbai-bengaluru-2-to-8-years-010324501501
390,AI Architect,"Global Pharma Tek
3.4
17 Reviews","4-9 Yrs
Not disclosed
Bengaluru",10+ years of experience working with large data sets or do large scale quantitative ana...,"['Unix', 'GIT', 'Linux', 'Machine learning', 'Teradata', 'Open source', 'Forecasting', 'Analytics']","30+ Days Ago
Save",https://www.naukri.com/job-listings-ai-architect-global-pharma-tek-bengaluru-4-to-9-years-310124501237
391,Patent Associate - Artificial Intelligence (AI),Bananaip Counsels,"2-7 Yrs
Not disclosed
Bengaluru",+2 years Experience Patent Drafting and Prosecution,"['Selection process', 'Pilot', 'Artificial Intelligence', 'Patent drafting', 'Manager Technology', 'Patent Associate', 'HR', 'Testing']","30+ Days Ago
Save",https://www.naukri.com/job-listings-patent-associate-artificial-intelligence-ai-bananaip-counsels-bengaluru-2-to-7-years-301123500903
